GeneID	fed	fed	fed	fed	starved	starved	starved	starved
alphaTry	91	20	90	35	199	22	184	68
alphaTub67C	12	407	77	61	305	105	356	66
alphaTub84B	3591	15143	2706	12631	5579	1815	6777	1584
alphaTub84D	465	1900	564	1815	1188	219	846	501
alphaTub85E	13	2	56	5	634	32	518	93
Alr	92	246	33	275	62	100	250	78
Als2	22	315	75	110	100	68	32	205
alt	397	2766	357	3788	529	343	697	329
aly	16	0	12	1	30	43	0	80
Ama	9	0	13	0	9	18	72	112
amd	41	2	24	8	5	154	4	28
amn	48	16	30	19	210	45	26	192
amon	7796	10079	1752	8872	3662	4118	6576	1513
amos	3	0	4	0	4	2	0	15
AMPdeam	241	1812	177	1139	1742	468	852	936
Amph	192	1704	371	1026	829	505	621	580
AMPKalpha	269	1807	246	1139	1306	176	737	487
Amt	17	0	18	1	4	21	27	28
Amun	684	4631	1314	4829	2071	630	1211	1072
amx	4	116	9	75	166	47	83	108
Amy-d	61	1502	66	1178	893	92	496	371
Amy-p	108	1290	116	1256	1639	183	901	693
Amyrel	24	44	18	23	56	45	30	67
ana	212	892	165	884	101	275	26	493
ana1	44	55	63	38	25	266	27	103
ana2	6	4	7	1	6	19	7	15
ana3	222	5	39	34	67	100	0	159
Ance	126	260	74	172	92	36	33	66
Ance-2	57	0	23	0	15	66	0	348
Ance-3	287	15	274	168	382	514	170	459
Ance-4	28	1206	63	1507	689	36	287	201
Ance-5	232	1571	219	1399	431	24	202	206
Andorra	4	1	21	0	2	17	1	11
angel	10	56	16	164	87	31	24	130
Ank	251	1713	224	1597	1059	517	1118	547
Ank2	1405	4070	1256	4780	3555	1556	3050	34670
Ankle2	166	711	129	230	563	146	169	161
Anp	0	0	0	0	3	2	0	4
Ant2	5124	36938	7598	39962	18424	4913	16527	5351
antdh	10	73	10	87	53	19	0	24
Antp	688	264	668	662	438	2333	232	2162
antr	32	2	9	1	3	43	2	21
AnxB10	296	1496	219	1959	694	346	992	526
AnxB11	89	58	36	73	24	145	90	47
AnxB9	304	2141	448	1468	960	41	682	266
aop	181	529	1491	710	266	989	81	843
aos	74	91	28	69	14	12	1	37
Aos1	71	715	121	485	271	35	209	56
AOX1	135	2843	178	2485	159	84	93	213
AOX2	14	5	47	2	18	39	3	101
AOX3	101	526	182	671	220	50	151	244
AOX4	14	5	29	4	10	63	3	147
ap	177	1464	301	669	284	431	242	483
AP-1-2beta	476	1453	147	1356	884	309	722	464
AP-1gamma	350	1927	263	1678	1367	1084	965	291
AP-1mu	40	430	150	564	255	28	146	129
AP-1sigma	550	2968	280	1794	1127	444	1273	380
AP-2alpha	709	2034	525	1409	909	431	971	510
AP-2mu	219	1221	164	534	493	75	352	280
AP-2sigma	1279	4033	483	3174	2522	1282	1888	635
Apc	376	781	190	797	615	437	456	569
APC10	8	203	20	85	21	18	27	12
Apc2	85	162	19	40	127	55	40	56
APC4	22	109	28	141	163	31	110	108
APC7	17	3	23	1	2	59	0	30
ApepP	64	163	18	31	188	61	141	726
aph-1	42	314	10	198	24	92	13	49
aPKC	705	1387	569	1413	1012	748	1246	993
Aplip1	963	2683	439	2274	2001	868	1440	985
apolpp	1417	166905	1448	232862	7034	1539	3204	7740
Apoltp	356	10671	305	13071	1631	718	765	1472
app	1307	1257	566	1771	1202	2646	1125	1055
APP-BP1	14	553	32	125	240	116	166	66
Appl	9238	27914	5679	29862	13013	6728	14762	8362
Aprt	15	1130	36	559	148	25	51	23
Aps	558	2867	483	2935	1734	717	1139	660
apt	201	363	253	292	396	422	189	395
AQP	97	7	55	20	73	104	8	979853
aqrs	8	14	6	10	8	103	9	306
ara	54	80	137	70	398	195	201	142
aralar1	410	3045	397	3058	2155	291	890	615
Arc1	131	1783	1711	3674	905	2220	585	1021
Arc2	36	114	9	166	5	9	5	6
Arc42	175	1500	34	1319	200	51	180	115
Archease	173	538	58	348	60	217	220	78
Arf102F	966	2677	500	1945	971	355	1002	448
Arf51F	783	4274	512	3648	1273	645	715	357
Arf79F	2316	10319	1879	8093	3823	1450	3192	1306
ArfGAP1	920	6458	2017	4245	4095	459	1154	1189
ArfGAP3	212	988	186	937	311	173	296	281
Arfip	71	251	13	49	146	135	113	77
Arfrp1	4	142	58	118	51	40	112	54
arg	32	785	26	875	63	110	89	180
Argk	2439	9493	2617	8968	7326	1695	6783	2524
ArgRS	68	459	19	229	125	121	105	40
ArgRS-m	23	88	75	34	51	34	17	41
ari-1	325	1633	462	2558	751	512	546	834
ari-2	153	400	183	312	232	253	257	162
Arl1	93	1398	16	698	85	137	66	132
Arl2	6	28	36	13	82	22	100	4
Arl4	501	2320	200	1082	766	592	922	342
Arl5	33	610	132	373	416	51	213	137
Arl6	4	9	6	3	10	22	29	7
arm	1920	5679	995	4500	5198	956	3250	1285
armi	122	122	45	72	57	35	11	114
Arp1	399	1603	439	1301	917	454	993	149
Arp10	154	204	65	179	75	47	234	156
Arp2	110	1292	350	520	231	65	273	336
Arp3	95	647	61	398	167	150	165	87
Arp5	160	98	27	29	60	25	87	48
Arp53D	12	0	11	0	6	32	1	33
Arp6	137	602	122	290	398	286	66	29
Arp8	13	36	14	110	8	28	1	35
Arpc1	445	2485	525	2345	689	212	841	233
Arpc2	169	1206	194	840	656	540	542	166
Arpc3A	425	1136	175	896	791	452	1028	421
Arpc3B	10	3	5	0	3	5	2	7
Arpc4	94	299	22	296	161	59	217	31
Arpc5	209	397	174	179	153	121	140	103
arr	157	567	526	231	130	433	149	626
Arr1	1042	6268	1030	8563	192	71	10	556
Arr2	1137	10192	1928	9890	266	155	96	1055
Ars2	340	1087	135	1499	317	190	320	215
Art1	50	375	32	217	187	243	37	109
Art2	13	3	15	2	4	45	1	89
Art3	40	197	28	154	132	74	9	26
Art4	132	323	106	190	71	122	88	241
Art6	15	0	8	0	1	24	0	25
Art7	14	13	7	21	35	38	43	73
Art8	2	2	2	2	0	1	0	2
Art9	8	0	10	2	4	8	0	21
aru	139	118	82	99	157	45	102	264
Arv1	81	526	67	481	108	31	196	212
arx	18	125	3	143	17	8	1	95
ARY	16	3	2	1	3	14	4	61
Asap	245	570	314	573	461	344	448	429
Asator	975	2028	531	2495	1688	1590	1680	813
Asciz	68	31	43	53	7	33	53	56
ase	57	3	14	5	11	59	74	92
asf1	93	120	11	179	306	283	170	21
ash1	159	496	150	540	178	278	293	510
ash2	273	2149	225	1431	228	239	272	338
Ask1	132	510	283	323	205	103	175	228
asl	35	0	29	0	6	51	41	107
AsnRS	167	868	45	596	274	129	330	190
AsnRS-m	27	137	7	109	1	24	62	46
asp	50	4	184	5	54	174	47	1281
Asph	104	66	93	379	120	99	160	79
ASPP	168	540	233	493	317	364	206	557
AspRS	45	4	13	0	5	11	2	12
AspRS-m	113	469	131	669	246	191	206	182
asrij	89	530	26	777	134	115	79	146
ast	39	61	63	0	27	42	0	55
AstA	146	150	27	219	144	2918	8228	250
AstA-R1	338	2380	563	745	973	1896	904	1439
AstA-R2	21	16	29	16	24	30	7	125
AstC	183	12697	131	27468	236	165	145	1071
AstC-R1	100	82	85	90	144	262	45	26954
AstC-R2	707	432	281	304	448	859	1357	370
AstCC	14	3	6	2	9	20	1	28
asun	16	175	16	53	59	37	9	67
Asx	186	461	80	217	153	186	227	180
Atac1	57	145	12	144	89	32	236	138
Atac2	13	85	20	68	38	87	10	51
Atac3	15	231	23	256	22	125	8	82
ATbp	12	71	13	143	10	79	13	23
Ate1	206	1249	90	945	242	98	416	186
Atet	274	1812	245	940	1334	391	748	595
Atf-2	41	126	25	121	156	44	7	29
Atf3	394	2325	837	2510	1398	677	816	2570
Atf6	522	1657	255	1046	1035	325	692	362
Atg1	397	1889	458	1803	1324	675	1115	3934
Atg10	350	1425	200	842	757	412	884	359
Atg12	14	283	21	147	45	80	115	95
Atg13	179	909	147	989	196	52	413	90
Atg14	103	444	69	207	247	75	100	99
Atg16	173	257	123	295	125	118	36	98
Atg17	412	1510	262	1388	710	376	380	2000
Atg18a	512	2586	267	1064	1118	358	626	316
Atg18b	242	578	116	624	548	312	719	361
Atg2	219	1595	67	1241	444	203	246	558
Atg3	115	1200	343	1054	366	201	346	199
Atg4a	90	1495	32	1054	440	125	285	619
Atg4b	50	113	42	57	77	223	60	94
Atg6	208	77	26	39	213	15	177	132
Atg7	24	194	68	37	47	105	94	281
Atg8a	4522	22415	3919	16723	13775	4036	9641	6091
Atg8b	1	1	4	0	0	4	0	11
Atg9	21	478	46	401	367	33	109	153
atilla	88	1113	122	975	1614	29	957	276
atk	116	545	94	228	853	163	228	827
atl	352	3397	375	2744	862	286	1320	317
atms	436	817	294	731	423	332	515	223
ato	10	0	18	1	1	6	0	19
Atox1	850	4164	749	2912	1004	578	1411	257
ATP7	8396	401	111	337	231	206	86	132
ATP8B	753	1327	266	540	435	499	619	675
Atpalpha	27461	81993	17643	124077	52242	21653	44027	22376
ATPCL	637	4944	336	3903	2431	347	1898	799
ATPsynB	1035	7984	651	6608	3831	787	3253	1072
ATPsynbeta	1723	9636	1321	9691	4064	1469	4336	2388
ATPsynbetaL	25	2	8	2	2	40	2	24
ATPsynC	7271	47834	8295	41580	19758	4978	17038	6326
ATPsynCF6	3272	17636	2564	17045	7154	2507	8210	2404
ATPsynD	1144	7890	742	6992	3676	930	3047	1167
ATPsyndelta	457	6646	671	6410	2394	507	1995	580
ATPsynE	576	4593	536	4186	1825	425	1620	652
ATPsynepsilonL	3	1	2	0	1	7	20	52
ATPsynF	1380	10694	997	8777	4610	1201	3483	1112
ATPsynG	2726	16272	2268	15242	8670	2063	7376	2104
ATPsyngamma	533	4062	433	3120	1459	339	1069	451
ATPsynGL	2	1	1	0	3	8	0	13
ATPsynO	1359	7317	734	6406	3055	565	2432	680
att-ORFA	84	1761	128	1136	774	96	530	131
AttA	73	8238	66	8215	342	97	100	323
AttB	107	12189	104	12689	168	176	192	463
AttC	740	144958	651	134863	583	495	337	3697
AttD	1	0	4	1	0	15	1	16
Atx-1	6	4	4	1	2	22	4	18
Atx2	600	4075	1241	4582	2393	1174	1756	734
Atxn7	305	678	159	483	188	115	156	94
aub	13	38	44	178	43	74	48	101
aurA	12	13	12	0	20	15	0	50
aurB	9	6	3	5	8	15	3	27
aust	7	2	11	0	0	4	0	31
aux	343	2121	157	1087	956	347	417	353
ave	52	475	10	327	173	106	348	47
Aven	6	66	9	96	8	22	3	85
awd	1543	9869	511	9222	2107	558	2037	1176
Awh	91	198	99	291	48	126	27	267
Axn	85	286	92	291	246	238	231	283
axo	258	338	559	843	96	2393	22	525
Axs	3	7	14	5	7	19	1	67
Axud1	209	845	40	602	396	371	207	233
az2	26	254	16	198	269	36	55	44
azot	10	2	16	1	2	14	1	6
b	136	3	20	1	83	51	4	61
B-H1	229	69	148	10	59	64	13	83
B-H2	44	26	106	28	122	111	7	631
B4	682	2374	398	1728	1080	1300	1241	819
B52	566	3111	350	1625	1182	309	1098	452
b6	24	33	14	30	18	20	43	111
B9d1	3	0	3	2	0	10	0	32
B9d2	18	0	11	2	2	27	2	43
bab1	565	491	520	329	176	1657	116	1191
bab2	284	512	387	272	240	826	51	663
babo	267	2329	608	1620	1456	382	743	475
babos	84	778	365	596	553	109	92	198
Bacc	4216	41629	4390	29270	18302	7118	13007	6338
baf	197	1477	161	583	338	153	263	219
bai	547	4013	97	3960	1224	280	874	316
Baldspot	1073	5880	1510	5159	1764	1297	1649	1322
ball	18	66	43	11	56	37	80	53
bam	14	0	16	0	9	16	0	55
bap	3	0	5	20	29	19	17	37
Bap111	104	619	134	715	235	185	165	174
Bap170	71	128	80	69	100	93	32	126
Bap55	119	397	134	532	508	16	14	144
Bap60	234	1100	74	680	622	110	235	117
barc	42	136	109	172	77	52	34	335
bark	187	49	351	46	76	179	72	361
barr	97	275	23	141	106	58	6	85
baz	785	1205	990	1011	516	738	286	2753
bbc	507	2061	947	1445	743	449	1324	409
bbg	535	588	1523	502	1115	2042	477	52047
BBS1	5	1	7	1	1	23	2	51
BBS4	14	0	21	1	14	29	3	78
BBS8	14	3	12	4	6	10	2	44
bbx	209	1753	263	1578	785	581	940	605
bc10	788	3107	422	1431	1075	722	974	358
BCAS2	74	648	46	511	138	54	27	33
bcd	31	21	23	23	19	225	4	94
bchs	317	1066	440	1003	854	741	627	880
BCL7-like	20	44	28	69	8	4	30	32
bcn92	40	400	107	246	131	46	251	159
Bdbt	108	559	54	295	302	9	256	180
bdg	231	56	31	340	148	82	50	651
bdl	48	457	143	679	90	123	36	281
be	165	88	41	184	21	44	55	110
BEAF-32	432	496	85	1126	385	267	638	412
beag	30	451	32	260	345	50	145	110
beat-Ia	235	223	156	914	574	563	195	907
beat-Ib	1803	1225	502	1235	1362	2208	597	984
beat-Ic	711	630	336	1439	1515	1383	884	3850
beat-IIa	378	914	553	1658	1294	933	733	1674
beat-IIb	285	99	265	545	245	973	172	1490
beat-IIIb	501	1475	446	694	1080	716	1003	547
beat-IIIc	1122	8262	981	4217	4453	1652	1189	2235
beat-IV	172	749	217	1137	680	512	411	12467
beat-Va	60	218	168	312	303	1504	210	620
beat-Vb	138	802	468	492	682	300	190	350
beat-Vc	155	168	252	377	534	507	221	1253
beat-VI	544	1105	473	1417	655	1730	1191	1772
beat-VII	702	1010	338	2094	496	1354	1190	833
beg	53	51	11	122	27	26	16	34
bel	216	2151	224	3181	674	269	502	381
Bem46	9	47	16	42	62	29	4	23
ben	2977	11621	2033	9669	5153	2035	4971	1596
Best1	76	491	342	219	523	282	379	437
Best2	169	128	97	218	129	88	38	242
Best3	11	0	19	55	4	15	1	14
Best4	28	1	16	0	6	19	1	31
Bet1	141	1307	76	619	195	353	99	16
Bet3	56	293	172	240	230	89	251	71
Bet5	4	333	20	1011	306	55	116	107
beta-Man	86	320	54	288	64	160	25	3114
beta-PheRS	34	303	12	310	308	96	80	74
beta-Spec	870	1781	356	1635	1108	514	800	542
beta'COP	117	2492	53	2089	910	124	796	374
beta3GalTII	49	87	16	37	20	38	59	27
beta4GalNAcTA	146	651	33	317	31	41	194	128
beta4GalT7	17	177	17	2	52	12	14	10
betaCOP	211	822	60	766	244	60	43	212
betaggt-I	70	129	86	12	110	48	16	178
betaggt-II	287	746	92	304	406	182	208	261
betaGlu	33	81	28	71	37	47	10	76
betaNACtes1	17	1	3	1	3	8	1	8
betaNACtes2	4	1	5	0	2	7	0	8
betaNACtes6	7	3	2	0	1	2	0	21
betaTry	380	15	184	32	211	6	271	95
betaTub56D	4215	15014	2476	14683	6106	1904	6972	1892
betaTub60D	255	91	104	160	184	62	47	116
betaTub85D	91	1	7	3	114	23	1	58
betaTub97EF	210	2029	166	1491	429	508	166	399
BG642163	29	2	11	1	1	16	4	39
BG642167	3	2	4	0	1	5	0	9
BG642312	9	4	15	2	1	7	0	150
Bgb	105	567	105	363	592	169	179	134
bgcn	123	535	189	584	278	197	7	172
bgm	73	2094	145	1871	1024	59	514	208
BHD	22	162	9	49	48	27	19	63
bi	69	108	59	92	37	83	44	221
BI-1	606	2782	223	3260	993	699	1178	537
bib	45	91	66	173	47	92	36	176
bic	1760	26989	1442	19652	14697	3215	10699	3632
BicC	27	69	43	48	15	72	37	237
BicD	530	1184	429	2315	1057	1723	1345	670
bif	452	870	343	709	870	464	607	331
BigH1	27	4	4	0	1	11	0	15
bigmax	124	1420	71	711	228	206	248	310
Bili	185	455	54	177	265	151	312	159
bin	43	1	10	0	11	45	0	163
Bin1	39	111	34	323	28	76	98	62
bin3	443	1798	582	1044	1510	590	723	431
bip1	31	58	94	16	49	50	29	130
bip2	847	3587	576	2285	2685	735	1701	1033
Bka	8	113	22	71	39	37	5	22
blanks	5	2	12	2	7	28	0	22
Blimp-1	654	2380	711	2618	1224	1464	1265	1381
Blm	57	3	61	2	15	132	74	142
Blos1	293	341	177	166	231	120	192	13
Blos2	9	68	4	19	58	3	11	7
Blos3	21	34	9	44	3	6	9	18
Blos4	14	226	23	146	68	11	62	21
blot	36174	243451	40638	229049	259386	47062	142659	24592
blow	74	263	101	292	70	63	89	179
blp	65	639	157	666	146	323	711	277
blw	5946	42064	6896	35529	18203	2764	12915	6018
bma	444	2023	366	1817	1229	1197	1561	956
Bmcp	149	1170	254	1117	454	275	621	337
bmm	402	11061	337	9520	4326	452	1831	1918
bnb	3816	13109	2705	19744	169	118	233	1270
bnk	25	0	6	0	2	23	3	7
bnl	149	730	563	188	175	556	96	505
BobA	8	1	2	1	1	1	0	3
boca	136	478	35	549	234	129	76	62
bocks	69	194	22	325	117	65	106	53
BOD1	29	90	89	223	50	368	114	103
boi	217	64	234	183	89	228	44	426
bol	2412	11855	4470	14610	12791	3767	8816	3999
boly	4	0	27	1	2	13	2	18
bon	684	1475	782	996	984	803	947	661
bond	470	1172	494	2179	349	132	608	141
bonsai	67	513	3	378	124	51	149	42
bor	92	142	76	392	148	115	224	255
bora	10	2	17	2	11	22	2	104
borr	16	0	14	4	9	32	0	24
boss	18	0	28	99	18	59	4	231
botv	74	304	166	501	137	65	103	186
bou	9	368	20	508	295	6	7	10
bowl	125	34	434	200	253	447	124	319
BoYb	27	3	31	2	23	104	1	179
br	428	1392	343	871	5319	893	990	13020
Br140	365	311	64	754	258	261	294	153
brat	2348	6184	2202	5166	5778	5017	4913	2064
Brca2	19	25	84	96	138	112	82	33
Brd	3	4	4	0	4	2	0	14
Brd8	37	47	16	21	20	45	18	82
Bre1	114	724	80	480	354	255	165	236
Brf	67	136	127	132	89	702	112	325
brk	48	257	22	115	19	37	276	42
brm	140	1135	248	552	505	547	274	1631
Brms1	383	2324	37	1701	911	397	1322	391
brn	99	27	60	48	79	18	37	140
Bro	3	0	2	0	0	12	0	81
brp	2018	6748	1196	5472	3881	2778	3588	2160
bru1	1937	5894	1953	6594	1949	3236	2805	2814
bru2	373	366	473	630	177	1012	163	729
bru3	11472	23005	6274	19374	21037	14457	12455	529839
Bruce	287	860	262	1152	770	781	443	700
brun	31	323	58	342	345	134	33	271
brv1	16	2	18	2	296	21	0	258
brv2	10	1	16	0	6	41	1	106
brv3	31	33	20	14	20	40	15	74
BRWD3	75	274	322	779	146	511	100	158
bs	213	551	132	381	328	358	202	387
bsf	220	850	160	873	551	402	373	259
Bsg	3008	17572	3395	16838	6521	2880	7713	2735
Bsg25A	94	0	39	1	4	6	2	14
Bsg25D	63	361	171	294	328	220	129	302
bsh	17	111	37	632	2	299	3	169
bsk	583	2225	372	1295	1142	715	1754	213
