GeneID	fed	fed	fed	fed	starved	starved	starved	starved
alpha-Man-IIa	23	12	23	13	23	65	12	35
alpha-Man-IIb	33	9	30	10	34	65	15	38
alpha-PheRS	23	32	17	22	7	19	8	19
alpha-Spec	115	106	101	132	112	113	95	96
alpha4GT1	14	20	9	14	10	25	17	17
alpha4GT2	14	73	39	62	27	62	27	31
alphaCOP	40	49	40	43	27	49	19	48
alphagamma-element:CR32865	6	9	3	7	8	8	15	6
alphaKap4	4	1	5	1	2	9	0	15
alphaSnap	117	125	110	128	100	120	107	96
alphaTry	17	4	20	6	23	21	25	25
alphaTub67C	11	15	15	6	7	21	9	15
alphaTub84B	150	155	122	156	135	126	177	109
alphaTub84D	56	62	39	67	36	39	39	48
alphaTub85E	6	2	21	5	25	27	21	24
Alr	8	12	10	17	13	15	17	17
Als2	18	23	21	13	26	31	8	23
alt	59	76	44	104	46	67	35	59
aly	9	0	6	1	11	23	0	20
Ama	8	0	8	0	8	16	4	13
amd	25	2	16	7	5	61	4	16
amn	16	14	24	14	9	36	10	29
amon	167	159	117	146	118	136	143	126
amos	3	0	4	0	4	2	0	11
AMPdeam	44	80	52	74	80	88	51	63
Amph	68	85	48	66	62	84	57	48
AMPKalpha	35	74	43	60	39	39	40	49
Amt	11	0	8	1	4	17	3	15
Amun	84	100	81	81	69	74	48	69
amx	4	7	8	8	8	19	5	21
Amy-d	22	97	23	116	88	23	73	65
Amy-p	32	93	40	91	89	36	65	73
Amyrel	14	18	17	13	18	20	10	19
ana	32	26	34	48	42	54	12	48
ana1	21	9	27	15	17	84	6	22
ana2	4	1	7	1	2	14	2	12
ana3	23	5	24	5	24	59	0	29
Ance	16	16	16	16	12	29	5	24
Ance-2	11	0	12	0	12	31	0	24
Ance-3	41	9	49	9	54	109	16	54
Ance-4	17	70	32	80	43	20	31	34
Ance-5	27	42	23	43	17	20	13	25
Andorra	3	1	13	0	2	15	1	7
angel	8	5	8	7	11	13	2	19
Ank	49	70	51	67	68	76	66	65
Ank2	112	124	90	120	124	134	128	71
Ankle2	30	27	40	13	30	49	10	30
Anp	0	0	0	0	2	2	0	2
Ant2	162	172	159	190	172	150	192	171
antdh	6	7	6	6	2	11	0	13
Antp	127	110	86	106	111	133	65	65
antr	5	2	7	1	1	29	2	11
AnxB10	30	59	24	63	32	26	41	38
AnxB11	15	7	18	6	12	55	8	17
AnxB9	36	60	36	62	38	29	37	32
aop	50	30	48	25	37	92	12	44
aos	12	9	17	6	7	12	1	17
Aos1	18	18	12	9	8	12	6	8
AOX1	45	88	34	85	22	45	15	42
AOX2	8	4	19	2	18	32	3	24
AOX3	26	21	35	31	21	29	6	36
AOX4	12	5	18	4	7	44	3	37
ap	57	80	51	49	80	105	33	43
AP-1-2beta	63	55	36	54	35	59	28	41
AP-1gamma	68	61	55	59	64	104	45	56
AP-1mu	13	28	21	22	21	17	11	25
AP-1sigma	48	74	34	55	44	47	44	47
AP-2alpha	67	80	40	72	51	63	55	54
AP-2mu	41	55	27	31	29	28	25	28
AP-2sigma	67	58	55	64	52	49	55	52
Apc	68	45	38	45	44	84	30	53
APC10	7	12	4	7	4	6	4	6
Apc2	23	10	12	3	18	33	5	22
APC4	15	8	19	10	8	26	5	34
APC7	12	3	14	1	2	22	0	17
ApepP	14	4	15	4	13	22	5	48
aph-1	10	14	9	14	1	15	6	13
aPKC	60	86	73	78	68	93	91	75
Aplip1	75	73	56	65	55	61	41	64
apolpp	143	140	121	119	142	158	148	173
Apoltp	87	119	81	140	73	127	42	67
app	78	49	71	64	77	115	38	64
APP-BP1	10	18	10	10	10	31	5	14
Appl	165	158	144	180	162	167	177	157
Aprt	10	28	11	31	9	21	6	14
Aps	57	74	57	78	57	87	41	50
apt	77	123	49	95	74	103	53	52
AQP	48	7	28	16	34	57	8	35
aqrs	7	14	4	10	8	38	7	20
ara	23	53	34	41	28	73	3	50
aralar1	45	61	52	53	58	80	41	59
Arc1	41	67	81	115	58	98	40	72
Arc2	3	4	4	5	4	8	2	4
Arc42	27	47	17	51	23	26	11	20
Archease	15	16	14	16	15	19	11	22
Arf102F	48	74	40	60	36	41	35	38
Arf51F	55	95	52	80	43	49	26	36
Arf79F	137	157	97	137	90	90	98	99
ArfGAP1	98	70	97	75	45	71	36	82
ArfGAP3	28	41	25	37	25	44	21	33
Arfip	23	25	11	14	22	38	16	26
Arfrp1	4	11	12	10	5	14	8	11
arg	20	56	11	49	12	50	10	34
Argk	158	172	142	183	164	123	178	116
ArgRS	22	43	16	26	13	31	20	19
ArgRS-m	9	22	22	14	20	30	9	20
ari-1	61	72	62	85	66	70	47	63
ari-2	19	11	19	15	28	51	12	31
Arl1	16	44	12	29	8	19	10	21
Arl2	5	7	7	6	8	8	7	4
Arl4	52	59	41	53	33	49	36	38
Arl5	11	24	19	20	16	14	13	23
Arl6	4	3	6	3	3	18	3	4
arm	110	98	73	95	89	102	80	80
armi	19	8	13	7	14	25	7	24
Arp1	40	49	45	41	30	38	37	30
Arp10	20	19	13	15	8	13	12	23
Arp2	32	44	35	27	29	30	23	28
Arp3	20	36	22	27	21	33	20	20
Arp5	21	10	10	2	8	21	5	16
Arp53D	8	0	7	0	5	7	1	11
Arp6	13	17	21	11	10	28	5	14
Arp8	12	3	10	4	8	22	1	20
Arpc1	49	54	50	51	38	35	29	42
Arpc2	41	43	35	58	36	51	30	40
Arpc3A	37	61	44	53	48	39	61	47
Arpc3B	9	3	4	0	3	5	2	6
Arpc4	15	22	10	21	11	15	19	11
Arpc5	18	23	17	17	10	15	7	19
arr	51	34	46	26	41	116	17	50
Arr1	69	80	58	108	22	48	9	57
Arr2	89	141	83	149	21	65	19	76
Ars2	37	43	33	46	23	47	16	47
Art1	15	16	21	25	15	29	13	17
Art2	10	3	12	1	4	28	1	18
Art3	9	8	15	6	12	22	3	11
Art4	26	78	30	68	38	56	36	48
Art6	10	0	7	0	1	12	0	10
Art7	12	1	6	1	7	22	4	17
Art8	2	1	2	1	0	1	0	2
Art9	6	0	7	2	4	8	0	15
aru	37	10	26	9	28	32	12	36
Arv1	17	35	10	24	12	7	11	14
arx	7	4	3	7	4	6	1	8
ARY	11	2	2	1	3	12	3	14
Asap	66	80	55	90	54	64	38	49
Asator	94	115	87	105	91	109	96	71
Asciz	16	2	9	5	5	13	3	18
ase	24	3	12	5	6	23	4	20
asf1	15	6	10	8	21	32	7	9
ash1	61	28	45	29	29	72	23	55
ash2	37	56	28	47	23	48	13	33
Ask1	27	23	32	19	25	60	8	43
asl	10	0	16	0	6	32	1	31
AsnRS	21	44	21	38	19	42	20	37
AsnRS-m	17	7	7	8	1	19	7	19
asp	21	3	26	5	34	60	6	35
Asph	29	6	15	8	15	64	10	25
ASPP	63	64	58	56	57	104	26	68
AspRS	29	4	12	0	4	5	2	7
AspRS-m	25	22	23	21	21	42	10	29
asrij	14	17	8	28	14	16	3	14
ast	19	4	19	0	7	31	0	22
AstA	38	20	21	13	13	91	104	32
AstA-R1	81	138	87	125	123	127	93	65
